lineage,state,gene
B,naive_B,TCL1A
B,naive_B,IGHD
B,naive_B,FCER2
B,naive_B,HVCN1
B,naive_B,IL4R
B,naive_B,MS4A1
B,memory_B,CD27
B,memory_B,TNFRSF13B
B,memory_B,CD82
B,memory_B,CD44
B,memory_B,BANK1
B,activated_APC_B,CD69
B,activated_APC_B,CD83
B,activated_APC_B,CD86
B,activated_APC_B,CD40
B,activated_APC_B,HLA-DRA
B,activated_APC_B,HLA-DPA1
B,plasmablast_differentiation,PRDM1
B,plasmablast_differentiation,XBP1
B,plasmablast_differentiation,MZB1
B,plasmablast_differentiation,JCHAIN
B,plasmablast_differentiation,DERL3
B,plasmablast_differentiation,SEC11C
B,class_switch_like,AICDA
B,class_switch_like,UNG
B,class_switch_like,MSH6
B,class_switch_like,IGHG1
B,class_switch_like,IGHA1
T,naive_central_memory_T,TCF7
T,naive_central_memory_T,LEF1
T,naive_central_memory_T,CCR7
T,naive_central_memory_T,LTB
T,naive_central_memory_T,SELL
T,naive_central_memory_T,IL7R
T,naive_central_memory_T,MAL
T,cytotoxic_effector_T,NKG7
T,cytotoxic_effector_T,PRF1
T,cytotoxic_effector_T,CTSW
T,cytotoxic_effector_T,GZMB
T,cytotoxic_effector_T,GZMH
T,cytotoxic_effector_T,GNLY
T,regulatory_T,FOXP3
T,regulatory_T,IL2RA
T,regulatory_T,CTLA4
T,regulatory_T,IKZF2
T,regulatory_T,TNFRSF4
T,activation_T,CD69
T,activation_T,ICOS
T,activation_T,CD38
T,activation_T,HLA-DRA
T,activation_T,TNFRSF9
T,exhaustion_like_T,PDCD1
T,exhaustion_like_T,LAG3
T,exhaustion_like_T,TIGIT
T,exhaustion_like_T,HAVCR2
T,exhaustion_like_T,TOX
T,exhaustion_like_T,CXCL13
