"cytokine","cell_type","gene","direction","weight"
"IL-1α","B_cell","ZFP36L2","up",1.09092999895634
"IL-1α","B_cell","ARAP2","up",0.891993631282316
"IL-1α","B_cell","SOCS3","up",0.843500162505324
"IL-1α","B_cell","NAPSA","up",0.808775593987397
"IL-1α","B_cell","GPR171","up",0.791013037121244
"IL-1α","B_cell","CCND2","up",0.699462699147377
"IL-1α","B_cell","PTPN1","up",0.686511388968371
"IL-1α","B_cell","PDCD4","up",0.672801908496927
"IL-1α","B_cell","SORL1","up",0.626455407832377
"IL-1α","B_cell","PTPN22","up",0.616331490042215
"IL-1α","B_cell","CCND3","up",0.609416851506894
"IL-1α","B_cell","SESN1","up",0.597453187445304
"IL-1α","B_cell","TSC22D3","up",0.562025335961089
"IL-1α","B_cell","SSH2","up",0.525973046730618
"IL-1α","B_cell","EGLN2","up",0.521793665375947
"IL-1α","B_cell","CD83","up",0.490730384637731
"IL-1α","B_cell","NCL","up",0.479209870470584
"IL-1α","B_cell","STAT1","up",0.467633415530426
"IL-1α","B_cell","FOXN3","up",0.463906495206753
"IL-1α","B_cell","BCL3","up",0.451151594695737
"IL-1α","B_cell","SYNGR2","up",0.45094549612325
"IL-1α","B_cell","CYTIP","up",0.440726043212382
"IL-1α","B_cell","HS3ST1","up",0.435205170966128
"IL-1α","B_cell","CEBPB","up",0.428262682562562
"IL-1α","B_cell","IRF1","up",0.42611274776845
"IL-1α","B_cell","IRGM","up",0.42301143558067
"IL-1α","B_cell","MRPL52","up",0.422353192203222
"IL-1α","B_cell","HSPA9","up",0.421192638561963
"IL-1α","B_cell","ACP5","up",0.416744767966576
"IL-1α","B_cell","ADRB2","up",0.413737099219481
"IL-1α","B_cell","SEMA4B","up",0.412344518212086
"IL-1α","B_cell","HCLS1","up",0.409911375242586
"IL-1α","B_cell","SERINC3","up",0.407546525243073
"IL-1α","B_cell","RANBP1","up",0.395947033980566
"IL-1α","B_cell","ODC1","up",0.392714245296967
"IL-1α","B_cell","PKIG","up",0.388133998865429
